tweet,sarcastic
It's good that you don't want to answer the question about going out! I don't really want to get involved! It's like I'm begging you!,1
Mr. Chang is so nice to me~~ I have a bucket of clothes waiting for me as soon as I get home.... ..nottalking.,1
I just saw a big cockroach in my bathroom... That's great... I'm going crazy... !!!!!!!!!!,1
That's good! The fund is about to drop below the 40 mark,1
Good for you! Things are lined up as soon as we get back! Let me read first...,1
It's great! There's a little man up at 4:00 singing.,1
"Windows 7, you're good! You've ruined a hard-earned vacation.",1
That's good. That's good. I can't talk about anything right now! I'm still tired.,1
It's good. The foot pain's gone. Now it's a stomach ache. It's good.,1
Great... Allergies again! I didn't drink any milk... damn it! It's red and itchy. Are you trying to drive me crazy?,1
Good. I'll be up 24 hours again.,0
Good. I've finished my stash of duty-free cigarettes... I'm going to fall on the floor and cry... An unemployed man can't afford a 90-dollar pack of cigarettes...,1
It's great!!! Just had breakfast and missed the plug... Waste of food again.,0
It's going to be really cool to take the test tomorrow from morning study until the end of the school day !!!!! It's like a monthly test.,1
It's great! Just add .09 every time!!!.... I've got a month before it freezes anyway.,1
Very good ~5209 on not going not cool to go .....,0
"The supervisor told me to go to Taoyuan Airport by myself tomorrow to pick up a VIP from Australia, which is frustrating.",0
"It's dropping an average of three degrees a day, which is good...",1
It's been fun all night and FB forgot to step on the line again.,0
Come on down! Come on down! I'll let you drop it! Not even a response! It's so impersonal. Nottalking.,1
"It's good, it's good. It cost me over $5,000 to fix the motorcycle.",1
Good... another computer stunt...,1
Yes! Yes! Yes!!!! Great!!!!,0
Good. I'm going to hell for posting so many salty midnight poofs.,0
It's the fault of the victims! The government has done a good job!,1
Very good !!!!! Early morning photoshop misbehavior ~ is that meant to be an early vacation for me?,1
"That's good! I'm going to a potluck on Saturday and I was just told last night, someone really has itchy skin",1
It's great!!!! I'm suing both of my cell phones!!!! Can someone please help me?,1
"It's good that after the failure of the pottery house, even the golden mountain wheat is out of order.",1
I can't believe I thought it was Thursday... And I missed last night's nightmare factory... Can someone remind me what day of the week it is every day from now on? I'd appreciate it...,0
That's good. I'm going to be a robot... Because I'm taking Cantonese herbal powder.,0
Good. I just dropped my little canon on the floor alive.,1
"Good, I have insomnia...",0
"Uh-huh... Very good. I experienced the 220V electric shock!!!! Oh, yeah! ～The whole thing bounced! Blank.",0
It's so wonderful that I tossed and turned all night last night and completely forgot that I was supposed to go to the thyroid doctor this morning. I'm out of meds. </contenxt> It was wonderful.,1
Great! I can't believe I'm stuck at home on a rare weekend.,0
That's great. .... The department office has another sister who is always pushing me to work hard...,1
"Very good, colleagues took a 2007 word file, with 2003 plus compatibility can not open, with OOo3.1 also can not open, forcing me to pour 2007 on the right!",1
"Good, the supervisor is still untrustworthy... ..nottalking.",1
"This typhoon was even worse, it looked like it was going to hit Taiwan directly, but at the last minute I changed my direction and canceled all my travel plans, so I just stayed home and played 360!",1
It's good! Another typhoon is coming on Saturday and Sunday.,1
Good... It's raining! Does this mean that tomorrow's program is canceled?,1
"Good... After yesterday's allergies, I think I've got a cold again and a runny nose.",1
Good~~I went to the beach today and brought an empty can of sunscreen I darkened...,0
That's good. You're just gonna have to go against me.,0
"Good to know that our Facebook is locked by MIS! I won't be able to ""farm, fish and restaurant"" at work anymore!",1
"Very good ah ~ ~ GOODla ... ... the manufacturer called and said even the lens has run into the sand. I'm not going to bury my camera in the sand, I'm going to spend 1300 dollars to repair it. The repair will cost 1300!",1
It's good. I quit. But the headaches started again..,0
"Well, I'm going to be a mover for the holidays!!!! I'm so sorry... You can't be too brave.",1
Great ~ 3 more subjects to take on the final exam...,0
"Good, I have a stomach ache now... Then I spent the night talking to a lot of friends I'd lost, some I'd missed, some I'd run away from, and it was a mixed bag of emotions, good or bad.",0
That's funny! Keep laughing!,1
"Great, just got home from the office and it's been an incredibly full day again! :",1
Very nice my life is only spicy and bitter I want sweet and sour love!!!! eek,0
"Good for you! I wanted to go to the office to escape the heat, but the air-conditioning broke down.",1
"Good, after two days of trying I confirmed that my company is indeed locked to msn, so I'm going to be friends with webmsn now. tears",1
"Good, we're out of lunch again today.",0
"Saw a news clip as follows: ""Wang Yuqi said the intention of President Ma's phone call was to rush the rescue supplies out and execute them in a more efficient way, and asked everyone to join in the effort."" ....... Good... Disaster relief with a joint effort",1
Waking up early is a great way to start the day ~ being able to use the cleanser as toothpaste and put it on a toothbrush to brush it down ..... I'm so glad you're here.,1
"After the typhoon, apart from the heavy rainfall, the internet was down all the time... ＝＝It's good... I was able to get on... But the signal light is blinking... I have a bad feeling...",0
Good. I'm stuffed... I feel like throwing up now.,0
"Well, my boss just called and said he'll be at the entrance of Taibei Station by 8:00 a.m. tomorrow to supervise the work, so I have to get up at 6:00 a.m. tomorrow.",1
"Good Mid-Autumn Festival my family all ran out, I'm the only one at home, a my barbecue miles, I nose to be alone at home.",0
"Good morning everyone! I'm back from Seoul!!!! Well, well, well... after a staff trip, I think the whole company knows I'm a mess...",0
"Tried to take a nap during my lunch break and the power went out... It was so hot that I couldn't sleep. When I got up and went to work, the power came on. The power company is really considerate.",1
"It took three hours to wait for the doctor, five minutes to see the doctor, and two hours to drive back and forth, for a total of five hours and five minutes, which was great!",1
Great!!! Little B wants grand mom not to have me as his real mom tars.,1
"It's great! The company can lock all the external websites->No Name/Poof Wave/Facebook/Yahoo Shopping are all open only after work hours, so I'll only have welfare class with me at work from now on! I don't want to go to work XD",0
"Two days of vacation ended like this, why is it that relaxing time always passes so fast? Good! I'm so excited to go to the office tomorrow and have a lot of work to do! Oh my god! I wish I could be a dame! Too bad I don't have that kind of life!",0
"Great, my access card is really gone!",1
That's great. I can't even read the machine. == Go make a copy.,0
"I just got back to my desk, and I'm getting blue screen crashes... That's very nice of you.",1
Why are there projects going on around the house and the office! I'm so lucky! I'm going crazy!,1
"Yesterday, I was really lucky when I went back to the office, the bus broke down... And it broke down at a place not far from my home, making me carry my not-so-lightweight NB... Squeeze on the next bus, Tears.",1
Good ~ a cubic centimeter of salmon makes me have to get up at 8am tomorrow morning to register for a doctor's appointment :whatthehell?!!!!,1
Good. It's not even 7:00 yet.,0
"Well, I'd better get out of here before it's too late.",1
"It's good... I'm still drinking Yolu-An... I lost again... Horse, horse, horse... I just can't stop drinking it... :",1
It's good! It turns out that session is not handled properly .....,0
Good. It's twelve o'clock... It's a shame that Tears' last night was treated like this.,0
It's great to pull until your belly is flat ......,1
Typhoon is getting stronger~Great!!!!,1
"Why? Vacation. I want to be a driver. Otherwise, it's just hard labor. ..... Dad is so good at planning!!!.....",1
"That's good. You ate my persimmon, Ruyi. I'm going to put out some rat poison, I'm telling you?",1
Nice a... My Port is blocked .... :',1
It's good! I've got acute conjunctivitis in my left eye.,1
"I am so enthusiastic in cutting honey cakes for everyone, but someone said, ""Why is there not a cup of hot milk tea? Good, you are asking for more and more and no thank you is enough. I'm not everyone's afternoon tea elf!!!",1
2 assignments to be born this week!!!! Great!!! Prepare to die.,1
That's good. I'm feeling a little light right now.,0
"Good. I just got home, and I'm gonna do some online tutoring. That's it.",0
"==Great! The repairman who came to fix the TV said it would cost more than 10,000 dollars to fix it, and that doesn't even include the paycheck? What the hell is so expensive ㄚ!!!! Mom said no more repairs. No more TV.",1
Nameless hit halfway when off .... Very good... I'm not happy with the fight.,1
"Good. Karma's under 50, and I'm really only 3 minutes hot!",1
That's good! It's late and I'm late for the 10:37 train.... .tears,0
Great~ headaches again!!!!,1
Great ~ keep working overtime today!!!!!,1
"I thought it's just a small cold, but yesterday I went for a blood test and I was positive for malaria, I didn't think I would get it so soon! The African continent has been so kind to me!",1
That's great! Now my daughter will control her sister ......,0
Very good .... Dead typhoon we recognize the loss of tears Kenting postponed spicy !!!!!,1
Just got back from the doctor. Good. I've got a cold again.,0
"I'm peeling a pear to eat, and my sister's doing a dash. That's good. The knife falls. Me, I'm colored.",1
"XBOX360 crashing is the beginning of the end... Good, I'm finally catching up... RedRingofDeath... ...RedRingofDeath...",1
Vacation went by so fast... And then it's another five miserable days...,0
Good for you! How dare you sell such a heartless Yakult that lives so young!,1
Very good... I've locked up the MIS and youtube for Sun Moonlight.,1
It's good that it's been cut.　It has the feel of being redone all over again.,0
"It's not long until midterms, and there's a bunch of stuff I should be reading that I haven't planned yet, so that's good! It's good to know that I'll be coming back before the exam every time. =_=""=> How dare you!",1
"That's good. I slept through the whole thing today, and the little man called me a stinker...",1
"It's good... the first time I got a heel, it made me look like an elephant leg!",1
FINE! Late on the first day of September! That's just great.,1
That's good. My tunnels are back. - What?,1
That's good. The head is really hurting.,1
Very good! Just give me Shoji... What kind of reason is that?,1
That's good. Because it's just been so... I'm super hungry and I need a good meal to comfort me.,0
"The storm was so heavy that Taipei actually did not take a vacation, riding to and from class, all wet! You can't get my vote at the end of the year!",1
"There are quite a few people on the PBS World Games broadcasting forum """"With Standards""""!",1
Good. Ten minutes shy of 9:00. I just got home.,0
That's great! My glasses really did fall off.,1
The cars on the Neihu Line are really small and cute!,1
It's good. The headache's gone! Very good!,1
"The company has blocked blogs, blogs and Facebook again! :: (SIGHS)",0
Very good!!! Good for you! It's been a long time since I've seen my stupid life again.,1
Good. I'm not ashamed to send another fucking letter that I forgot to attach.,0
"Great. I went to the computer early this morning and it hung up. I heard that the entire hard disk is dead and I have to spend a lot of money to save it. Even if there is no computer available, it is possible to go through the day in this way. Hey, you didn't leave the office until 7:40 today!",1
"Great, bought a group buy of a mainland bike kettle that can be used to water flowers and may break.",1
"Ha! It's good! There's nothing to eat~ Come on over for some cactus!!!! I'll get serious later~/""tears",0
"My computer is not compatible with the treadmill, and the message posted 17 minutes ago is only appearing now~~Good, good, good!",1
I'm really mad at you for trying to control me so that I can understand.. shit. . shit... Good. .... I'm going to be sick on Thursday... I'm really pissed off right now.,1
That's good. That's good. That's what men do.,1
"Good. I'm losing fitness. I'm running every day and I'm losing fitness, damn it.",0
"Those A Du A supervisor has not so good job ah, your parent company to audit, to go through is the supervisor, our department you want me a small assistant to block! Very well, then I get the reply is ""the most clear is to deal with the staff"", and then all the forms are thrown to me to fill out, and then fill out the back out, and said that he still needs his consent. Then I was told that he had to give me his consent to fill out all the forms. ＝＝I'm not sure why I'm doing this.",0
"Good, I'm dying... My coworker suddenly threw a shocking bomb at me... He asked me to look into a case that I have no recollection of... He said he didn't remember anything but that the case was given to me... What's the point of remembering nothing but that it was given to me... I don't remember anything at all... .doh",1
"Great, none of the appointments turned out to be good enough to go.",1
"Good, I think it's really a cold~",0
"It's the same time every night, and my friends are busy... I don't have time!",1
It's storming outside the office and my helmet is hanging out... Good. I'm ready for goldfish.,1
That's good. It hurts when I lift my left hand!,0
It's good! One bun from morning till night!,1
Good... I can't get on Facebook anymore...,1
"Very good... I've been choked by teachers at Nantai, and even by vendors at Yan Yan... And now you're being choked! Just think of me as a little man!",1
"Lala Mountain is really not ordinary close, especially on weekends, stop and go traffic jam! Luckily, there are peaches to add to the mix.",1
"Great, I don't have my cell phone charging, so I don't have to turn it on this week.",1
That's good! I had my first meeting until 10:50.,1
Great ~ finally going to be tested for leaks again!,1
Very good .... Even the speakers are broken.,0
Great another day of vacation has passed .....,0
Good... I got a cold card today... It's a bad feeling...,0
"The temperature in the room is 33 degrees, which is good, so it's time to go to the library outside and sleep.",1
"Great! Once again, I was locked out without my key, but someone downstairs opened it for me.",0
Very good~~Very good~~Just got a red bomb~~~~Everyone go get married......,1
"No vaccines for young adults and no vaccines for allergy sufferers, oh this is such a great vaccine and policy XD",1
I brought my camera to take a picture but I missed the memory card.... This is me. I'm sorry.,1
Very good... I just remembered.. I didn't bring an umbrella today!,1
I can't believe I chose to pre-order on my payday. ...... Good for you!,1
"Good~Typhoon is coming~Customer's calls keep coming~Call to ask Hsinchu and Da Jung if they have received the goods! They replied that they have received the goods, but the delivery may not be sure! Whew, but I still have to go to work!",0
That's great. I'm booked up until 10/11 for the weekend.,0
And it's really good to do intense exercise on Sunday. !!!!!! Swimming doesn't support intense exercise... But my limbs are sore the next day !!!!,1
"Great, theverve disbanded again .... .tears",0
Very good... The hard drive has been overheating and crashing in the last two days == I had to get a fan to blow on it... Testing.,0
Good... My honorary leave is going to be dedicated to my sleep.,1
"It's great!!!! I can't resist the chicken chop aroma, I'm going to get the Pike!!!! Woe is me!!!! I've just passed by the store and didn't enter it!!!! I'm sobbing.",0
Good. Turning Cat is now awake from 2:30 to 5:00 a.m. every day.,1
"It's great. I've shortened my commute a little bit since I've gotten used to it. Yeah, just a little bit.",1
"Good morning poofs I have a cold and woke up with a headache, stuffy nose and sore throat... That's great, Tears.",1
"Yesterday was really bad. The washing machine messed up again and I had to hand wash after a long time + I guess it was the heat stroke that made me uncomfortable + I got a big cramp at 2am from my own foot betrayal. Great, all this must be the result of my family cursing me last time!",1
"Great, $180 eye drops only lasted two days this time. tears",0
"Very good! Again, the horse is good, and the horse doesn't eat grass! ....",1
The power jumped halfway through the restoration. - Good.,1
Isn't that cool!!! That's over 60 bucks for a negative... That's a lot of money! !whatdoyouwantforme,1
Very good flurk slow is getting cooler very good,1
"I can't believe I can't respond to this, so I'm going to have to rush back. Good night, everyone, and sleep tight!",1
Good to know that after five years of working for the company the results are .... My allergies go from the top of my head to the bottom of my feet.,1
A woman just drove her RV through my alley... She's very skillful. She hit two motorcycles. It fell down and hit the metal gate next door. I was shocked. I'm gonna go get my ass kicked.,1
Very good .... There's hair in the buns ....,1
"Great, first day of overtime at home, looks like it's going to be a rough month and a half...",0
"It's so bad that ""Typhoon Morakot is moving south and may hit Taiwan."" I'm so glad I canceled my Friday and Saturday appointments.",0
It's great that I didn't even respond to it myself.,1
Great~I had insomnia again yesterday .... I'm a bit nervous that my friend who hasn't seen me for over 4 years will meet me after work today... I can't meet anyone with such a bad face ..... That's great! That's great!,1
Very good very good .....,0
Very good and powerful... I got a flat tire in the middle of my ride and got stuck on the side of the road for almost an hour... :),1
Good. Teachers go to hell.,0
"Good, keep it up! Now the copier's down! We're all going on strike, aren't we? Aren't you afraid I'll give you to the recycling plant and break you down? Who's going to strike now? Cameras and cell phones all together!",1
"I finally got it!!!! No wonder it's going down! Someone is targeting me for an experiment... ^^""9 Very good!!!",1
"I woke up early today, went to the office earlier, and got really lucky... I crashed my car.",1
"I just finished washing my car, and I'm going to Tainan, and it's starting to drizzle, so it's really great!",1
I was going to sleep. I saw the Spicy Diva Palace talking about ways to lose weight. LOL But eating roundworms to lose weight is too... Okay.,0
Very nice!!! I can't believe I left my camera at the hospital ....,0
Everest opened up and showed me that I was plugging in DDRII667 instead of 800 memory.,1
"Good, at least both sides are itchy in turn!!!? Oh, my eyes.",1
9;01 The card ~~~~ is great!!!!,0
Great!!! Another Friday that I'm not in the mood for vacation!!!! I have to go to a show + interview in the afternoon... And then I have to wake up at 5am tomorrow... Oh my god! Chiayi people are so lucky to have free health checkups...,1
Very good .... My gingival suture wound is inflamed... I realized that the threads were so far in front that I would pull them every day when I brushed my teeth == Every night it hurts so much that it doesn't get better even after taking anti-inflammatory medication. What should I do now .... Ooohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,0
I lost my wallet today. I came back with 15 keys. Are you saving it for my bus fare? That's very kind.,1
"Own very north seven, trance me because of laziness to turn a direction, so I was cut by the blade of the plastic wrap.... It's great! I bought it myself a few days ago... Blood just came out...",1
It suddenly rained heavily in Tainan... I got soaked while waiting for the traffic light on my motorcycle... I was soaked from head to toe... Good... God loves to play jokes... When I didn't bring my raincoat...,1
Has anyone ever eaten the scales from canned tuna? It's good... I may be the first person ever to do so.,1
"I have to complain that the quality of the ASUS is just too ""good"". I actually need to put an ice pillow on my lap with the ASUS F5 laptop on top of it so that the wireless card doesn't overheat. It's just too ""good"" for me!",1
Great! The boss has just announced that work will be mandatory tomorrow and no typhoon leave will be allowed!!!!,1
"I'm watching the news and all I can say is that our government is just too good to be true! I have time to watch the news, but no time for immunization....",1
I woke up naturally!!!! I was woken up by the ghostly screams of the woman from across the street.,1
"Good, good, good. Throw the imports over. Fucking asshole.",1
"Today, Hsinchu even called me to tell me that I'll be staying behind next month for 4 days, which is great. I'll take every Thursday and Friday off.",1
Finally rent a 20th century teenager !!!!!!!!!!!!! And then a fight with the family!!!! That's great nottalking,1
"I'm going to change my cell phone tonight~~Yes, Sango wants me to change to a new one~~It's really sweet to give him the old one to use.",1
"Yesterday we said we didn't need to issue an emergency order, but today we're talking about a national security meeting. It's already too late. If the people can move faster than the government, then what does the government need to do? Has it really turned into a primitive society where the national government has not yet appeared, as defined in political science, and we can only ""help ourselves""?",1
Good. Today's new work experience is helping people with umbrellas.,1
"After the range hood, today is the day to hit the dishwasher, next time I'll wear a helmet when I cook.",1
Very good .... I was so full from the hot pot for dinner... And now I've finished 7 more dumplings ....,0
"It's said that a bear's brain is only a tiny bit taller than a 4-meter tall bear's brain, so can a bear's brain of less than 2 meters be omitted? Even the song is wrong... great and powerful... Just complaining! Give me one more to criticize the hollow-eyed bears.",1
"Well, that's good, the computer is down again ......",0
"Good, someone who loves to scout my Tri-Cities keeps making me lose all my scouts, and when I find out who it is, I'm going to blow you away.",0
"The boss says he wants it on the 17th, but the guy downstairs says he's not available. Good. I'll do it myself.",1
Facebook's privacy settings are not bad at all! You have to be a friend in order to see the other person's information!,1
"I was about to go to the dusk market to buy ingredients for the fish congee tonight. Then the sound of rain came from the roof... That's good! It's true that the name ""Rain Maiden"" wasn't just given to her.",1
I can't believe I haven't slept yet!,0
It's great!!! I have a headache.,0
Great...the printer is probably going to hang up again.... .nottalking,1
"Oh, that's great! You Aussie guests can stay in Australia for a bit. Thanks for the advice. ！！！！",1
That's good! I have to face the database by myself until 4pm today! And then only two hours to check the answers before I'm off!,0
That's good! I have to face the database by myself until 4pm today! And then only two hours to check the answers before I'm off!,0
"Is it true that Magic doesn't have the ability to select multiple emails? If it is true, then... It would be amazing. ....",1
"Very good, interivew the whole early to two o'clock, to go to discuss with the supervisor let him give me big tips to help me in front of the big supervisor have a more proper performance ~ very Powers ㄚ",1
Very good !!!! It's not even 5:00 and I'm hungry!!!! !tears,1
"Today Rush is like a dog ..... On Monday, everyone is going to a distant enterprise for a meeting to eat high quality food, but I still have to stay here to handle urgent cases.",1
"Great, my computer hangs again...",1
"Great, the new 13"" macbookpro will probably have the bottom case knocked out of shape during shipping... what'swrongwithyou? .what'swrongwithyou?Apple?",1
That's great! It's even on Facebook!,1
"Yuan Zhi's mailbox has been paralyzed for a few days, and when I opened it this morning, I realized... The mailbox was really empty... Good job, Information Services...",1
"Good. My hard drive is down again, once every two years. The sulfur in Beitou is really going to put me out of business.",0
"It's the afternoon of ""wind and harmony"" ~~~ not on the provincial highway or coastal highway, the wind is too strong, the wind flying sand almost blinded me!",1
"I went to a ball game today and my glasses fell off, and my car broke down on the side of the road on the way home.... I'm so lucky.",1
It's great! Hair's all curly.,0
Good my brother's girlfriend is here to see how I'm going to deal with this ....,0
"I woke up at 9am, left the house at 9:02am, and chased the bus down the street at 9:06am! I'm starting my day a little too brightly.",1
"It was good... I had a hard time getting to sleep at 6:30, and I slept a lot... I woke up at 7:30...",0
"Great! According to the latest duty roster, my next duty roster will be on my birthday.",1
"It's nice to go out, isn't it? I didn't get home until 12:00, and the door was unlocked! Hey, hey, hey.",1
It's great! Now I don't have to wake up with an alarm clock!!!! Because the construction site next door is so damn noisy that I can't sleep!!!!,1
That's great! I've got a stack of books and a bunch of outdated daytime dramas and movies waiting for me.,0
Very good !!!! It's 36.7 degrees in Freshwater. I can't believe it's not 36 degrees today!,0
"Great, now I can't get into my FB!!!!",1
"Good. After I spent 3 hours completing a report, IT Cupcake came in and said, ""The HO server crashed last night, and the data is incomplete."" That's great!",1
"On August 8, the first day of the flooding, when the people were in the most desperate need of rescue, the military committed only 740 troops. I can only say that this figure is really gloomy and soul-crushing!",1
I got off work at 7:30 today. That's good. Very good. Good luck with your exam.,1
"Great, sprained ankle is worse than expected, declared on the 15-day disabled list, thanks to Abba for carrying me a bit, Yukon for the ride, and Monkey for the ice cubes ><",0
"Very nice ~ after night ride on Catacombs ~ weight gained, not lost!!!!",1
The rain in Kaohsiung better get a little heavier. How about I buy a boat?,1
"What's with the luck of the day? It's just dinner, and I've lost my appetite because of a really good meal.",0
You could've been killed in a traffic collision for nothing.,1
"You can go a little too far, it doesn't matter, I just said I'm not stealing anymore, and I won't take all the crops and shells from all the people! No one even picked up the eggs from the zoo! Now what? I'm warning you! Don't make me come back!",1
I'm.. I'm angry. I'm pissed off. ............ It's okay! The ending could have been worse...!,1
"Five days in Japan and only two main places == ""That's a lot!",1
I got a phone call this morning! The team leader said that the unpaid leave will be implemented on 1/1! I've been working overtime on holidays! And now unpaid vacation! It's great!,1
The internet can be slower... It doesn't matter...,1
